_______________________________________________________________________________________________________________________________________________________________________________________________________________________________________                                                                     
Name                            Position                      Rate(rubles)                  Worktime(hours)               Month salary(rubles)          Business trips                Projects                      Numbers of employee
_______________________________________________________________________________________________________________________________________________________________________________________________________________________________________                                                                     
Казаков Фёдор Дмитриевич        Cleaner                       400                           60,3                          24135,30                      0                             NO                            0         
Котовский Цефас Анатольевич     Cleaner                       400                           46,8                          18702,09                      0                             NO                            0         
Шарапов Марк Андреевич          Driver                        500                           62,1                          34058,44                      3                             NO                            0         
Худобяк Болеслав Романович      Driver                        500                           51,8                          32885,57                      7                             NO                            0         
Ершов Спартак Вадимович         Manager                       NO                            NO                            23671,67                      0                             SmartWatch                    0         
Пономаренко Фёдор Андреевич     Manager                       NO                            NO                            43704,16                      0                             SmartScales                   0         
Лаврентьев Данила Алексеевич    Manager                       NO                            NO                            64153,52                      0                             SmartKeys                     0         
Горобчук Захар Сергеевич        Project Manager               NO                            NO                            144000,00                     0                             SmartWatch                    7         
Фёдоров Филипп Борисович        Project Manager               NO                            NO                            144000,00                     0                             SmartScales                   7         
Кабанов Никодим Иванович        Project Manager               NO                            NO                            504000,00                     0                             SmartKeys                     27        
Гаврилов Богдан Ярославович     Senior Manager                NO                            NO                            510000,00                     0                             NO                            52        
Плаксий Арсений Петрович        Team Leader                   950                           94,2                          123281,66                     0                             SmartWatch                    6         
Гаврилов Август Иванович        Team Leader                   950                           130,8                         157550,41                     0                             SmartScales                   6         
Зайцев Харитон Артёмович        Team Leader                   950                           94,3                          230557,89                     0                             SmartKeys                     26        
Николаева Оксана Брониславовна  QA                            650                           156,5                         136935,92                     0                             SmartWatch                    0         
Белобокина Доминика Леонидовна  QA                            650                           90,0                          90083,76                      0                             SmartWatch                    0         
Яковлева Василиса Валериевна    QA                            650                           94,5                          129855,50                     0                             SmartScales                   0         
Сердюк Вера Леонидовна          QA                            650                           128,0                         138487,20                     0                             SmartScales                   0         
Кашина Любовь Алексеевна        QA                            650                           146,7                         110733,56                     0                             SmartKeys                     0         
Собакина Марфа Петровна         QA                            650                           152,3                         118560,48                     0                             SmartKeys                     0         
Волкова Татьяна Дмитриевна      QA                            650                           108,0                         84101,58                      0                             SmartKeys                     0         
Цветкова Юлия Ивановна          QA                            650                           126,5                         91230,24                      0                             SmartKeys                     0         
Белова Мария Фёдорвна           QA                            650                           95,5                          76398,89                      0                             SmartKeys                     0         
Николаева Алла Алексеевна       QA                            650                           122,6                         94898,12                      0                             SmartKeys                     0         
Ткаченко Надежда Станиславовна  QA                            650                           93,5                          73599,76                      0                             SmartKeys                     0         
Давыдова Евгения Эдуардовна     QA                            650                           109,2                         89677,20                      0                             SmartKeys                     0         
Хорошева Мая Дмитриевна         Programmer                    900                           116,5                         145635,92                     0                             SmartWatch                    0         
Разгильдяев Станислав Петрович  Programmer                    900                           154,9                         170899,31                     0                             SmartWatch                    0         
Мишина Розалина Фёдоровна       Programmer                    900                           159,5                         173373,42                     0                             SmartWatch                    0         
Шарова Злата Вадимовна          Programmer                    900                           154,3                         177658,45                     0                             SmartWatch                    0         
Шестаков Афанасий Эдуардович    Programmer                    900                           146,7                         173122,30                     0                             SmartScales                   0         
Нестеров Тимур Владимирович     Programmer                    900                           139,2                         180208,17                     0                             SmartScales                   0         
Юдин Юрий Богданович            Programmer                    900                           113,9                         131527,22                     0                             SmartScales                   0         
Лаврентьев Пётр Евгеньевич      Programmer                    900                           89,5                          111700,85                     0                             SmartScales                   0         
Бирюков Евдоким Леонидович      Programmer                    900                           96,5                          106204,55                     0                             SmartKeys                     0         
Шашков Яков Данилович           Programmer                    900                           157,3                         156328,52                     0                             SmartKeys                     0         
Ерёменко Яков Дмитриевич        Programmer                    900                           108,3                         106781,67                     0                             SmartKeys                     0         
Устинов Лаврентий Викторович    Programmer                    900                           121,0                         119081,75                     0                             SmartKeys                     0         
Бутко Тимур Анатолиевич         Programmer                    900                           134,3                         132137,05                     0                             SmartKeys                     0         
Артемьев Герман Львович         Programmer                    900                           105,7                         104413,70                     0                             SmartKeys                     0         
Герасимов Корнелий Эдуардович   Programmer                    900                           90,6                          91502,57                      0                             SmartKeys                     0         
Кулаков Филипп Иванович         Programmer                    900                           122,4                         126446,13                     0                             SmartKeys                     0         
Суворов Устин Леонидович        Programmer                    900                           138,7                         135398,45                     0                             SmartKeys                     0         
Пожарова Анна Викторовна        Programmer                    900                           167,4                         168261,33                     0                             SmartKeys                     0         
Ермошкина Фёкла Львовна         Programmer                    900                           131,7                         132749,48                     0                             SmartKeys                     0         
Дубина Юлия Дмитриевна          Programmer                    900                           119,9                         121635,77                     0                             SmartKeys                     0         
Кудрявцева Василиса Викторовна  Programmer                    900                           141,4                         137333,34                     0                             SmartKeys                     0         
Масловска Богдана Михайловна    Programmer                    900                           141,5                         137921,31                     0                             SmartKeys                     0         
Григорьева Инна Михайловна      Programmer                    900                           102,9                         112516,94                     0                             SmartKeys                     0         
Шубина Юнона Григорьевна        Programmer                    900                           157,5                         151742,77                     0                             SmartKeys                     0         
Самсонова Арина Романовна       Programmer                    900                           164,1                         159869,97                     0                             SmartKeys                     0         
Сыпченко Олеся Фёдоровна        Programmer                    900                           111,3                         112657,39                     0                             SmartKeys                     0         
