Cleaner,1598,Андреева Рая Донатовна,100
Driver,1223,Лобанов Исак Ефимович,120
Programmer,1578,Блинов Варлаам Кимович,200,Messenger
Programmer,7896,Дорофеев Кирилл Улебович,200,Messenger
Programmer,7897,Гусев Герман Рудольфович,200,Messenger
TeamLeader,9987,Королёв Прохор Оскарович,250,Messenger,3
Tester,7898,Чернова Ветта Григорьевна,200,Messenger
Tester,1234,Чесноков Игорь Михайлович,200,Messenger
Tester,4567,Самойлов Владимир Григорьевич,200,Messenger
Manager,7899,Елисеева Ирэн Данииловна,Messenger
Manager,7844,Капустина Инна Сергеевна,Messenger
ProjectManager,1111,Зиновьева Алевтина Вадимовна,Messenger,2
Programmer,3452,Ясавеев Сократ Вячеславович,200,MobileBank
Programmer,9778,Квитко Арина Германовна,200,MobileBank
Programmer,2878,Капица Руслан Данилевич,200,MobileBank
TeamLeader,8782,Тянникова Анисья Фомевна,250,MobileBank,3
Tester,4444,Шмырёв Николай Демьянович,200,MobileBank
Tester,3213,Соболевский Елисей Несторович,200,MobileBank
Tester,5464,Блокова Ульяна Тихоновна,200,MobileBank
Manager,5346,Бильбасова ﻿Агата Тимофеевна,MobileBank
Manager,6575,Матвиенко Жанна Андрияновна,MobileBank
ProjectManager,4354,Немцов Измаил Фролович,MobileBank,2
Programmer,1233,Зверева Марианна Евгениевна,200,MusicPlayer
Programmer,3226,Гавриленко Денис Евграфович,200,MusicPlayer
Programmer,4323,Дьякова Эльвира Андрияновна,200,MusicPlayer
TeamLeader,9347,Устюжанин Мирослав Мартьянович,250,MusicPlayer,3
Tester,3212,Янушковский Мирон Богданович,200,MusicPlayer
Tester,2324,Блаженов Никита Федосиевич,200,MusicPlayer
Tester,4127,Шатова Изольда Родионовна,200,MusicPlayer
Manager,7239,Унтилов Валерьян Филимонович,MusicPlayer
Manager,7812,Нюхтилина Марина Ираклиевна,MusicPlayer
ProjectManager,1121,Дуванова Анастасия Алексеевна,MusicPlayer,2
SeniorManager,2007,Фёдорова Таисия Артёмовна,All,32
